Location ,Closed Date,Time From,Time To,,,,,,
PAC Studio 1,02-05-2020,7:00,23:59,,,,,,
CIF Gym 1,02-05-2020,7:00,23:59,,,,,,
CIF Gym 2,02-05-2020,7:00,23:59,,,,,,
CIF Gym 3,02-05-2020,7:00,23:59,,,,,,
Indoor Field A,02-05-2020,7:00,23:59,,,,,,
Indoor Field B,02-05-2020,7:00,23:59,,,,,,
Indoor Field C,02-05-2020,7:00,23:59,,,,,,
CIF Arena,02-05-2020,7:00,23:59,,,,,,
CIF Warrior,02-05-2020,7:00,23:59,,,,,,
CIF Fitness,02-05-2020,7:00,23:59,,,,,,
PAC Pool,03-05-2020,7:00,23:59,,,,,,
Warrior Zone,03-05-2020,7:00,23:59,,,,,,
PAC Main,03-05-2020,7:00,23:59,,,,,,
PAC Small,03-05-2020,7:00,23:59,,,,,,
PAC Studio 1,03-05-2020,7:00,23:59,,,,,,
CIF Gym 1,03-05-2020,7:00,23:59,,,,,,
CIF Gym 2,03-05-2020,7:00,23:59,,,,,,
CIF Gym 3,03-05-2020,7:00,23:59,,,,,,
Indoor Field A,03-05-2020,7:00,23:59,,,,,,
Indoor Field B,03-05-2020,7:00,23:59,,,,,,
Indoor Field C,03-05-2020,7:00,23:59,,,,,,
CIF Arena,03-05-2020,7:00,23:59,,,,,,
CIF Warrior,03-05-2020,7:00,23:59,,,,,,
CIF Fitness,03-05-2020,7:00,23:59,,,,,,
